scene,block_size,n_runs,pr_psnr,pr_ssim,pr_lpips,gp_psnr,gp_ssim,gp_lpips
mic,2,3,20.6889 +- 0.0023,0.9644 +- 0.0004,0.0700 +- 0.0008,21.0723 +- 0.0000,0.9831 +- 0.0000,0.0308 +- 0.0000
mic,4,3,19.2122 +- 0.0760,0.8743 +- 0.0006,0.2810 +- 0.0007,21.0654 +- 0.0000,0.9831 +- 0.0000,0.0259 +- 0.0000
mic,6,3,15.8816 +- 0.0249,0.8407 +- 0.0003,0.3562 +- 0.0008,21.0653 +- 0.0000,0.9831 +- 0.0000,0.0252 +- 0.0000
mic,8,3,20.0522 +- 0.0482,0.9375 +- 0.0012,0.1343 +- 0.0040,21.0653 +- 0.0000,0.9832 +- 0.0000,0.0265 +- 0.0000
mic,10,3,18.5844 +- 0.6251,0.8657 +- 0.0042,0.2994 +- 0.0055,21.0721 +- 0.0000,0.9837 +- 0.0000,0.0284 +- 0.0000
mic,16,3,18.9210 +- 0.0992,0.8746 +- 0.0010,0.2818 +- 0.0007,21.0654 +- 0.0000,0.9851 +- 0.0000,0.0284 +- 0.0000
mic,25,3,19.7194 +- 0.1095,0.8777 +- 0.0004,0.2744 +- 0.0006,21.0720 +- 0.0000,0.9877 +- 0.0000,0.0259 +- 0.0000
mic,50,3,18.1590 +- 0.9806,0.8600 +- 0.0034,0.3220 +- 0.0079,21.0720 +- 0.0000,0.9901 +- 0.0000,0.0220 +- 0.0000
ship,1,3,20.5790 +- 0.0007,0.8896 +- 0.0002,0.1460 +- 0.0005,21.0738 +- 0.0000,0.9831 +- 0.0000,0.0182 +- 0.0000
ship,2,3,20.6450 +- 0.0003,0.8943 +- 0.0001,0.1493 +- 0.0002,21.0737 +- 0.0000,0.9831 +- 0.0000,0.0262 +- 0.0000
ship,4,3,21.0559 +- 0.1101,0.7203 +- 0.0026,0.4435 +- 0.0013,21.0669 +- 0.0000,0.9831 +- 0.0000,0.0214 +- 0.0000
ship,6,3,19.5212 +- 0.0206,0.7128 +- 0.0009,0.4014 +- 0.0016,21.0674 +- 0.0000,0.9831 +- 0.0000,0.0209 +- 0.0000
ship,8,3,17.6874 +- 0.2072,0.6491 +- 0.0074,0.5475 +- 0.0056,21.0669 +- 0.0000,0.9832 +- 0.0000,0.0221 +- 0.0000
ship,10,3,21.2190 +- 0.0249,0.7379 +- 0.0015,0.4061 +- 0.0012,21.0729 +- 0.0000,0.9836 +- 0.0000,0.0238 +- 0.0000
ship,16,3,20.7921 +- 0.0666,0.7136 +- 0.0027,0.4385 +- 0.0012,21.0666 +- 0.0000,0.9851 +- 0.0000,0.0239 +- 0.0000
ship,25,3,20.3445 +- 0.2011,0.7742 +- 0.0053,0.3207 +- 0.0040,21.0713 +- 0.0000,0.9877 +- 0.0000,0.0221 +- 0.0000
ship,50,3,17.1001 +- 0.0158,0.6275 +- 0.0075,0.5705 +- 0.0020,21.0713 +- 0.0000,0.9901 +- 0.0000,0.0192 +- 0.0000
