scene,patch_size,n_runs,pr_psnr,pr_ssim,pr_lpips,gp_psnr,gp_ssim,gp_lpips
materials,24,3,30.0236 +- 0.0658,0.9789 +- 0.0004,0.0436 +- 0.0010,33.4679 +- 0.0000,0.9988 +- 0.0000,0.0036 +- 0.0000
materials,48,3,19.0638 +- 0.3924,0.8132 +- 0.0099,0.2854 +- 0.0099,27.4473 +- 0.0000,0.9958 +- 0.0000,0.0083 +- 0.0000
materials,76,3,15.7459 +- 0.9423,0.7591 +- 0.0122,0.3855 +- 0.0156,23.4438 +- 0.0000,0.9900 +- 0.0000,0.0165 +- 0.0000
materials,100,3,16.1269 +- 0.1525,0.7523 +- 0.0049,0.3843 +- 0.0045,21.0656 +- 0.0000,0.9831 +- 0.0000,0.0265 +- 0.0000
materials,148,3,17.1858 +- 0.6136,0.8103 +- 0.0046,0.2990 +- 0.0055,17.6776 +- 0.0000,0.9639 +- 0.0000,0.0487 +- 0.0000
materials,200,3,30.2550 +- 0.5060,0.9829 +- 0.0006,0.0311 +- 0.0009,15.1032 +- 0.0000,0.9350 +- 0.0000,0.0766 +- 0.0000
mic,12,3,19.6149 +- 0.3570,0.8771 +- 0.0018,0.2826 +- 0.0033,39.0309 +- 0.0000,0.9996 +- 0.0000,0.0016 +- 0.0000
mic,24,3,20.0508 +- 0.1074,0.8811 +- 0.0012,0.2770 +- 0.0013,33.4679 +- 0.0000,0.9988 +- 0.0000,0.0036 +- 0.0000
mic,48,3,18.9618 +- 0.1901,0.8725 +- 0.0021,0.2893 +- 0.0040,27.4473 +- 0.0000,0.9958 +- 0.0000,0.0083 +- 0.0000
mic,76,3,18.1329 +- 0.5335,0.8656 +- 0.0064,0.3062 +- 0.0138,23.4438 +- 0.0000,0.9900 +- 0.0000,0.0163 +- 0.0000
mic,100,3,18.9529 +- 0.3938,0.8723 +- 0.0036,0.2879 +- 0.0006,21.0654 +- 0.0000,0.9831 +- 0.0000,0.0259 +- 0.0000
mic,148,3,18.1907 +- 0.3803,0.8637 +- 0.0026,0.2980 +- 0.0076,17.6784 +- 0.0000,0.9639 +- 0.0000,0.0472 +- 0.0000
mic,200,3,18.1229 +- 0.2104,0.8641 +- 0.0022,0.2946 +- 0.0027,15.0849 +- 0.0000,0.9350 +- 0.0000,0.0745 +- 0.0000
ship,12,3,21.4123 +- 0.1756,0.7124 +- 0.0081,0.4462 +- 0.0047,39.0309 +- 0.0000,0.9996 +- 0.0000,0.0016 +- 0.0000
ship,24,3,21.3475 +- 0.1448,0.7198 +- 0.0035,0.4215 +- 0.0026,33.4679 +- 0.0000,0.9988 +- 0.0000,0.0036 +- 0.0000
ship,48,3,19.7962 +- 0.1120,0.6708 +- 0.0056,0.4866 +- 0.0043,27.4473 +- 0.0000,0.9958 +- 0.0000,0.0080 +- 0.0000
ship,76,3,26.5406 +- 0.0997,0.9218 +- 0.0025,0.0906 +- 0.0016,23.4438 +- 0.0000,0.9900 +- 0.0000,0.0147 +- 0.0000
ship,100,3,19.6274 +- 0.1822,0.6896 +- 0.0091,0.4520 +- 0.0047,21.0669 +- 0.0000,0.9831 +- 0.0000,0.0214 +- 0.0000
ship,148,3,19.7942 +- 0.0473,0.6940 +- 0.0020,0.4814 +- 0.0036,17.8065 +- 0.0000,0.9640 +- 0.0000,0.0380 +- 0.0000
ship,200,3,17.3500 +- 0.0709,0.6848 +- 0.0022,0.4249 +- 0.0041,15.5026 +- 0.0000,0.9353 +- 0.0000,0.0645 +- 0.0000
